image_url,name,item_id,url,in_stock
"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/sodimacCO/742505/w=1036,h=832,f=webp,fit=contain,q=85",Televisor 65 Pulgadas Oled 4K UHD Thinq Magic Remote Oled65b4psa,742505,https://www.homecenter.com.co/homecenter-co/product/742505/televisor-65-pulgadas-oled-4k-uhd-thinq-magic-remote-oled65b4psa/742505/,1
"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/sodimacCO/739295/w=1036,h=832,f=webp,fit=contain,q=85",Televisor 32 Pulgadas LED Bluetooth 32kg84bt Negro,739295,https://www.homecenter.com.co/homecenter-co/product/739295/televisor-32-pulgadas-led-bluetooth-32kg84bt-negro/739295/,1
"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/sodimacCO/904186/w=1036,h=832,f=webp,fit=contain,q=85",Televisor Smart TV 32 Pulgadas HD TV32HEL2F4 Negro,904186,https://www.homecenter.com.co/homecenter-co/product/904186/televisor-smart-tv-32-pulgadas-hd-tv32hel2f4-negro/904186/,1
"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/sodimacCO/742388/w=1036,h=832,f=webp,fit=contain,q=85","Televisor Samsung 55"" 4k Uhd Led Smart Tv 55du7000",742388,https://www.homecenter.com.co/homecenter-co/product/742388/televisor-samsung-55-4k-uhd-led-smart-tv-55du7000/742388/,1
"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/sodimacCO/742502_96/w=1036,h=832,f=webp,fit=contain,q=85",Televisor 55 Pulgadas Nano Cell 4K UHD Smart Tv Ai Incluye Magic Remote 55nano80tsa,742502,https://www.homecenter.com.co/homecenter-co/product/742502/televisor-55-pulgadas-nano-cell-4k-uhd-smart-tv-ai-incluye-magic-remote-55nano80tsa/742502/,1
"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/sodimacCO/753977/w=1036,h=832,f=webp,fit=contain,q=85",Televisor 70 Pulgadas Nano Cell 4K UHD Incluye Magic Remote 70NANO80TSA,753977,https://www.homecenter.com.co/homecenter-co/product/753977/televisor-70-pulgadas-nano-cell-4k-uhd-incluye-magic-remote-70nano80tsa/753977/,1
"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/sodimacCO/750438/w=1036,h=832,f=webp,fit=contain,q=85",Televisor Lg 65 Pulgadas Nano Cell Uhd4k Smart Tv 65nano80tsa,750438,https://www.homecenter.com.co/homecenter-co/product/750438/televisor-lg-65-pulgadas-nano-cell-uhd4k-smart-tv-65nano80tsa/750438/,1
"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/sodimacCO/706830/w=1036,h=832,f=webp,fit=contain,q=85",Televisor 50 Pulgadas QLED Qn50q60dakxzl,706830,https://www.homecenter.com.co/homecenter-co/product/706830/televisor-50-pulgadas-qled-qn50q60dakxzl/706830/,1
"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/sodimacCO/733307/w=1036,h=832,f=webp,fit=contain,q=85","Tv Lg 86"" Pulgadas 217 cm 86nano80tsa 4k-uhd Nanocell Smart Tv",733307,https://www.homecenter.com.co/homecenter-co/product/733307/tv-lg-86-pulgadas-217-cm-86nano80tsa-4k-uhd-nanocell-smart-tv/733307/,1
"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/sodimacCO/735996/w=1036,h=832,f=webp,fit=contain,q=85",Televisor Lg 50ur7410psa 4k Uhd Smart Tv,735996,https://www.homecenter.com.co/homecenter-co/product/735996/televisor-lg-50ur7410psa-4k-uhd-smart-tv/735996/,1
"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/sodimacCO/735995/w=1036,h=832,f=webp,fit=contain,q=85",Televisor Lg 50ut8050psb 4k Uhd Smart Tv,735995,https://www.homecenter.com.co/homecenter-co/product/735995/televisor-lg-50ut8050psb-4k-uhd-smart-tv/735995/,1
"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/sodimacCO/739294/w=1036,h=832,f=webp,fit=contain,q=85",Televisor 40 Pulgadas LED Bluetooth 40kg84bt Negro,739294,https://www.homecenter.com.co/homecenter-co/product/739294/televisor-40-pulgadas-led-bluetooth-40kg84bt-negro/739294/,1
"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/sodimacCO/739296/w=1036,h=832,f=webp,fit=contain,q=85",Televisor 65 Pulgadas UHD Bluetooth 65kg85bt Negro,739296,https://www.homecenter.com.co/homecenter-co/product/739296/televisor-65-pulgadas-uhd-bluetooth-65kg85bt-negro/739296/,1
"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/sodimacCO/725594/w=1036,h=832,f=webp,fit=contain,q=85",Televisor 65 Pulgadas 4K UHD AiWebos2465ut7300psa,725594,https://www.homecenter.com.co/homecenter-co/product/725594/televisor-65-pulgadas-4k-uhd-aiwebos2465ut7300psa/725594/,1
"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/sodimacCO/706835_02/w=1036,h=832,f=webp,fit=contain,q=85",Televisor 70 Pulgadas UHD Un70du7000kxzl,706835,https://www.homecenter.com.co/homecenter-co/product/706835/televisor-70-pulgadas-uhd-un70du7000kxzl/706835/,1
"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/sodimacCO/733313/w=1036,h=832,f=webp,fit=contain,q=85","Tv Hyundai 40"" Pulgadas 101.6cm Hyled4023gim Fhd Led Smart Tv Google",733313,https://www.homecenter.com.co/homecenter-co/product/733313/tv-hyundai-40-pulgadas-1016cm-hyled4023gim-fhd-led-smart-tv-google/733313/,1
"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/sodimacCO/733311/w=1036,h=832,f=webp,fit=contain,q=85",Televisor 55 Pulgadas 4K UHD Oled55b4 Negro,733311,https://www.homecenter.com.co/homecenter-co/product/733311/televisor-55-pulgadas-4k-uhd-oled55b4-negro/733311/,1
"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/sodimacCO/732524/w=1036,h=832,f=webp,fit=contain,q=85",Televisor 55 Pulgadas Android Bluetooth HDR,732524,https://www.homecenter.com.co/homecenter-co/product/732524/televisor-55-pulgadas-android-bluetooth-hdr/732524/,1
"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/sodimacCO/733312/w=1036,h=832,f=webp,fit=contain,q=85","Tv Lg 50"" Pulgadas 127 cm 50nano80 4k-uhd Nanocell Smart Tv",733312,https://www.homecenter.com.co/homecenter-co/product/733312/tv-lg-50-pulgadas-127-cm-50nano80-4k-uhd-nanocell-smart-tv/733312/,1
